Date,Open,High,Low,Close,Adj Close,Volume
2020-02-19,118.639999,119.260002,116.639999,117.360001,117.360001,2199000
2020-02-20,117.000000,117.150002,111.750000,115.900002,115.900002,1894300
2020-02-21,115.449997,115.599998,110.750000,113.540001,113.540001,1581700
2020-02-24,107.500000,115.709999,106.050003,114.260002,114.260002,1913500
2020-02-25,114.940002,125.910004,110.500000,118.400002,118.400002,3651600
2020-02-26,120.000000,120.260002,113.010002,116.860001,116.860001,3452500
2020-02-27,138.899994,148.000000,129.039993,135.149994,135.149994,8996500
2020-02-28,139.699997,145.000000,120.150002,124.959999,124.959999,6011500
2020-03-02,126.940002,128.466003,121.059998,124.489998,124.489998,2969900
2020-03-03,124.500000,124.629997,119.370003,123.580002,123.580002,2242300
2020-03-04,125.169998,126.000000,122.589996,124.639999,124.639999,2355900
2020-03-05,123.400002,138.070007,122.760002,134.330002,134.330002,4000300
2020-03-06,139.029999,140.630005,132.360001,135.899994,135.899994,4198500
2020-03-09,125.809998,136.089996,120.000000,133.539993,133.539993,2441500
2020-03-10,137.509995,150.970001,127.560997,146.070007,146.070007,5538800
2020-03-11,152.059998,153.750000,130.100006,137.399994,137.399994,6149800
2020-03-12,126.750000,131.710007,117.599998,118.800003,118.800003,3990100
2020-03-13,125.559998,140.000000,106.416000,127.949997,127.949997,5298400
2020-03-16,122.610001,132.740005,115.404999,116.739998,116.739998,4466200
2020-03-17,119.959999,132.779999,102.010002,118.239998,118.239998,5500500
2020-03-18,115.010002,137.880005,115.000000,136.929993,136.929993,5088700
2020-03-19,140.149994,148.490005,132.070007,139.630005,139.630005,4803100
2020-03-20,140.479996,158.199997,137.279999,141.740005,141.740005,4097600
2020-03-23,146.479996,168.000000,143.789993,167.440002,167.440002,5493000
2020-03-24,173.750000,176.399994,148.479996,162.020004,162.020004,8011900
2020-03-25,159.309998,160.800003,134.125000,142.110001,142.110001,13377100
2020-03-26,148.009995,160.000000,143.001007,159.500000,159.500000,5849500
