Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-08-21,68.709999,70.949997,68.559998,69.349998,69.349998,4077900,PTON
2020-08-24,69.949997,70.25,66.209999,66.870003,66.870003,4483700,PTON
2020-08-25,66.470001,67.459999,65.290001,66.449997,66.449997,4291700,PTON
2020-08-26,66.970001,68.612999,66.735001,67.300003,67.300003,4663600,PTON
2020-08-27,72.400002,72.412003,68.059998,70.300003,70.300003,12952800,PTON
2020-08-28,72.410004,77.455002,72.25,75.959999,75.959999,15402900,PTON
2020-08-31,76,77.800003,75.410004,76.669998,76.669998,15742500,PTON
2020-09-01,78.389999,84.629997,78,83.669998,83.669998,13193200,PTON
2020-09-02,91.800003,92.5,84.25,91.059998,91.059998,26695500,PTON
2020-09-03,87.800003,87.900002,80.510002,82.279999,82.279999,14010200,PTON
2020-09-04,81.550003,84.972,72.110001,80.629997,80.629997,16784900,PTON
2020-09-08,79.379997,91.839996,79.290001,85.599998,85.599998,32732800,PTON
2020-09-09,90.160004,92.080002,86.220001,91.169998,91.169998,30086900,PTON
2020-09-10,93.550003,98.610001,86.379997,87.75,87.75,55832600,PTON
2020-09-11,98.107002,98.107002,83.580002,84.040001,84.040001,87398100,PTON
2020-09-14,81.720001,83.5,78.830002,82.010002,82.010002,52982500,PTON
2020-09-15,83.5,88.5,82.5,85.449997,85.449997,67929300,PTON
2020-09-16,83.769997,86.349998,82.199997,82.589996,82.589996,25174500,PTON
2020-09-17,79.690002,85.699997,79.019997,85.199997,85.199997,30607900,PTON
2020-09-18,85.25,90.010002,83.279999,89.699997,89.699997,44309600,PTON
2020-09-21,89.400002,96.5,87.779999,94.800003,94.800003,51263700,PTON
2020-09-22,90.330002,94.650002,88.43,94.389999,94.389999,43455600,PTON
2020-09-23,95.809998,100.440002,93.910004,95.230003,95.230003,55375400,PTON
2020-09-24,93.900002,95.25,88,88.559998,88.559998,34327800,PTON
2020-09-25,90.757004,98.480003,90.5,97.730003,97.730003,45866000,PTON
